Question,Answer
"What happens if a pod exceeds its memory limit?","It may be terminated due to an Out Of Memory (OOM) error"
"What are LimitRanges used for?","Automatically assign default resource values to containers that do not specify them"
"What is the apiVersion for DaemonSet?","apps/v1"
"What command describes a DaemonSet in kube-system namespace?","k describe ds kube-flannel-ds -n kube-system"
"What command gets DaemonSets in kube-system namespace?","k get ds -n kube-system"
"What kubelet parameter is used to pass path for static pods?","--pod-manifest-path=/etc/kubernetes/manifests"
"What kubeconfig field specifies static pod path?","staticPodPath"
"How can you identify a static pod by its name?","It has the node name appended to it (e.g., nginx-node01)"
"What is the ownerReferences.kind for static pods?","Node"
"What command gets priority classes?","k get priorityclass"
"What is the apiVersion for PriorityClass?","scheduling.k8s.io/v1"
"What field in pod spec specifies the priority class?","priorityClassName"
"What is the apiVersion for KubeSchedulerConfiguration?","kubescheduler.config.k8s.io/v1"
"What field in KubeSchedulerConfiguration defines the scheduler name?","schedulerName"
"What command creates a configmap from a file in kube-system namespace?","k create configmap my-scheduler-config --from-file=/root/my-scheduler-config.yaml -n kube-system"
"What field in pod spec specifies which scheduler to use?","schedulerName"
"What command gets events with wide output?","k get events -o wide"
"What command checks logs of a custom scheduler?","k logs my-custom-scheduler --namespace=kube-system"
"What command gets service account my-scheduler?","k get sa my-scheduler"
"What is the apiVersion for Role in RBAC?","rbac.authorization.k8s.io/v1"
"What command checks admission plugins help in kube-apiserver?","kube-apiserver -h | grep enable-admission-plugins"
"What admission controller parameter enables NamespaceAutoProvision?","--enable-admission-plugins=NodeRestriction,NamespaceAutoProvision"
"What command checks admission plugins from within kube-apiserver pod?","k exec -it kube-apiserver-controlplane -n kube-system -- kube-apiserver -h | grep 'enable-admission-plugins'"
"What parameter disables the DefaultStorageClass admission controller?","--disable-admission-plugins=DefaultStorageClass"
"What field defines resource requests for memory?","resources > requests > memory"
"What field defines resource requests for CPU?","resources > requests > cpu"
"What field defines resource limits for memory?","resources > limits > memory"
"What field defines resource limits for CPU?","resources > limits > cpu"
"What is the kind for LimitRange?","LimitRange"
"In LimitRange spec, what section defines default limits?","default"
"In LimitRange spec, what section defines default requests?","defaultRequest"
"What toleration key is used for master nodes?","node-role.kubernetes.io/master"
"What toleration operator allows a pod to run regardless of taint value?","Exists"
"What toleration effect corresponds to NoSchedule taint?","NoSchedule"
"In nodeAffinity, what field contains the matching expressions?","matchExpressions"
"What operator in nodeAffinity checks if label value is in a list?","In"
"What operator in nodeAffinity checks if label value is not in a list?","NotIn"
"What is the default value for PriorityClass?","0"
"What field in PriorityClass makes it the default for all pods?","globalDefault"
"What are the two preemption policy options?","PreemptLowerPriority, Never"
"What ClusterRole is used for kube-scheduler?","system:kube-scheduler"
"What ClusterRole is used for volume-scheduler?","system:volume-scheduler"
"What API group is used for coordination leases?","coordination.k8s.io"
"What resource type is used for scheduler leader election?","leases"
"What verbs are required for creating leases?","create"
"What verbs are required for accessing existing leases?","get, list"
